,reduced,Emotion
0,"""This is our cave,"" said the man. He was tall with curly, shoulder-length hair and his lower lip was caked red with the areca nut he was chewing. An orange sarong was tied around his waist and a small axe was slung over his left shoulder. He pointed at a dimly lit rock shelter guarded by swaying trees.""This is where the children lived,"" he said, gesturing to a dark corner, ""and here, the men and women. You see the top there,"" he continued, showing a sun-lit platform sheathed by scattered boulders. ""That's where our leader slept, and we burnt wild boars, deer and rabbits to eat.""Gunabandilaaththo belongs to the Vedda community, the earliest known aboriginal people of Sri Lanka. For centuries, his people were forest dwellers who foraged, hunted and lived in close-knit groups in caves in the dense jungles of Sri Lanka, relocating from one cave to another when someone from the group died. After one's death, they laid the body on the cave floor and covered it with leaves while gathering by a large tree to pray for the deceased; and offered wild meat, honey and wild tubers to their ancestors and the deities of the trees, rivers ",neutral
1,"POPULAR TAGS FOLLOW US ON:This material may not be published, broadcast, rewritten, or redistributed, 2022 © G plus. All rights reserved. Copyright © 2022 Insight Brandcom Pvt. Ltd. All rights reserved. ",neutral
2,"The province has unveiled a five-year, 89-point action plan to advance the United Nations Declaration on the Rights of Indigenous Peoples (UNDRIP), which became legislation in B.C. over two years ago.Hailed as historic by government and Indigenous leaders speaking at its unveiling, the plan outlines a list of ""significant actions"" the province is promising to undertake in consultation and cooperation with Indigenous Peoples.Chief Jerry Jack of the B.C. Assembly of First Nations said the document charts a path to a renewed relationship with government and reconciliation.""I commend this significant effort,"" said Jack. ""What [Indigenous Peoples] have been going through is multi-generational. I went with my dad to blockades in the 1970s, fighting for our rights. I don't want my grandchildren to still have to fight for our rights, our land back.""The 89 actions address a wide range of issues, including governance, land and water stewardship, salmon, education, anti-indigenous racism, child welfare, policing and justice, data collection, health care, sport and recreation, Indigenous languages, climate change, B.C. place names, cannabis policy and high-speed internet access.Each of the 89 actions notes which provincial ministry is responsible for its implementation.Premier John Horgan called the plan a roadmap to do ""what has never been ",admiration
3,"American Indians and Alaska Natives appear to be at higher risk for death from COVID-19 despite having similar rates of chronic health conditions, a new study has found. Photo by Adi Weda/EPA-EFEMarch 30 (UPI) -- American Indians and Alaska Natives in the United States are more likely to die from COVID-19 than Black and White Americans, even without the chronic conditions that place people at higher risk for serious illness from the virus, a study published Wednesday by JAMA Network Open found. Black Americans in Mississippi hospitalized with COVID-19 were 75% less likely to die from the virus compared to American Indians and Alaska Natives, the data showed. AdvertisementSimilarly, White Americans in the state hospitalized with the virus had a 77% lower risk for death after infection than these Indigenous populations, the researchers said.This is despite American Indians and Alaska Natives in the study having similar or lower rates of heart disease, high blood pressure, diabetes and obesity compared to Black and White American participants, according to the researchers.Previous research has found that having heart disease, high blood pressure, diabetes and/or obesity increases a person's risk for serious illness and death from COVID-19 infection, making them ""comorbidities"" in medical terms, ",neutral
4,"Pope Francis has heard first-hand the horrors of abuse committed at church-run residential schools in Canada, as Indigenous delegations pressed him for an apology.Indigenous survivors are visiting the Vatican this week for meetings with the pope about the scandal that has rocked the Catholic church.More than 1,300 unmarked graves have been discovered since last May at church-run schools attended by Canada’s Indigenous children as part of a government policy of forced assimilation.“The pope listened … (he) heard just three of the many stories we have to share,” Cassidy Caron, president of the Métis National Council, told journalists in front of St Peter’s Square. “While the time for acknowledgment, apology and atonement is long overdue, it is never too late to do the right thing.”Francis also held a private audience with representatives of the Inuit Tapiriit Kanatami.The 85-year-old pontiff is scheduled to receive a delegation from the Assembly of First Nations on Thursday, before a final group meeting on Friday.The Catholic church in Canada has apologised “unequivocally” to Canada’s Indigenous peoples for a century of abuses at church-run residential schools.Francis has also expressed his “pain” at the scandal – but has not gone so far as to offer an apology himself.“We ",neutral
5,"AsiaWill Pope Francis apologize to Canada's indigenous people?He has taken the first step to healing the wounds inflicted by the Church by meeting indigenous delegationsA Canadian man sits and prays at the field where the remains of over 750 children were buried on the site of the former Marieval Indian Residential School in Cowessess First Nation, Saskatchewan, on June 25, 2021. (Photo: AFP)By Ben Joseph Published: March 30, 2022 10:28 AM GMT Updated: March 30, 2022 10:51 AM GMTPope Francis is under pressure to clear a blot on the escutcheon of the Catholic Church caused by the forceful assimilation of indigenous children in Canada.Canada’s indigenous schools became a fly in the ointment of the Church's good intentions when it tried to help North America indigenous people after they faced disease, hunger and the loss of their traditional economy during colonial and modern times.From 1831 to 1996, at least 150,000 indigenous children were forcefully separated from their homes and placed into some 139 residential schools. The Church and its religious orders ran more than two-thirds of the schools.Thank you. You are now signed up to Daily newsletterSIGN UP NOW! Stay up to date Don't miss out on the latest NewsAccording to ",gratitude
6,"As Treasurer Josh Frydenberg handed down the federal government’s pre-election budget on Tuesday night, I watched in anticipation to see what it would hold for Aboriginal and Torres Strait Islander peoples and communities.It’s an important issue, particularly in light of the government’s 2020 commitment to new targets to address the ever-growing disparities between Indigenous peoples and the rest of the population that have yet to be adequately addressed.It was no surprise to see a strong budget focus on the cost of living. Petrol prices have surged past A$2 a litre, and the cost of food is rising because of COVID-19, floods and climate change.Opposition Leader Anthony Albanese was quick to criticise the budget, likening it to “fake tan” and claiming that the one-off cost-of-living payments are more about winning the upcoming election than planning for the future. The problem with fake tan, he said, is that “it fades pretty quickly”.Unfortunately, Indigenous people are used to disappointing budgets that lack the strategic planning needed to address real issues that Indigenous communities themselves constantly raise.True, the cost of living is soaring for many Australians. But like all things, this is never an even playing field. The cost of living in remote Aboriginal ",realization
7,"Student climate protest in Melbourne. Credit: ShutterstockThe urgency of tackling climate change is even greater for Aboriginal and Torres Strait Islander people, and other First Nation peoples across the globe. First Nations people will be disproportionately affected and are already experiencing existential threats from climate change.The unfolding disaster in the Northern Rivers regions of New South Wales is no exception, with Aboriginal communities completely inundated or cut off from essential supplies.Aboriginal and Torres Strait Islander peoples have protected Country for millennia and have survived dramatic climatic shifts. We are intimately connected to Country, and our knowledge and cultural practices hold solutions to the climate crisis. Despite this, we continue to be excluded from leadership roles in climate solution discussions, such as the recent Intergovernmental Panel on Climate Change (IPCC) report.This continued exclusion is why investigation of the impacts of climate change on First Nations people is needed.In October last year, the Lowitja Institute, in partnership with the Aboriginal and Torres Strait Islander National Health Leadership Forum and the Climate and Health Alliance, brought together researchers, community members, young people and advocates from across the country at a round-table discussion.Together, they put together the findings for the Discussion Paper Climate change ",realization
8,"“Dear Dartmouth citizens:My name is Bob Sisson, I grew up on Smith Neck Road and attended and graduated from the Dartmouth School system in 1971. I was a member of the football and track teams, though not very good.I feel I have a unique perspective on the current issue of the use of an indigenous person as a symbol of Dartmouth Pride. I am the 13th generation of one of the founders of Dartmouth, Richard Sisson who had a home at the Head of Westport River in 1635. My father Dick was a star athlete for Dartmouth High and is in our Hall of Fame. He was also a coach and phys ed teacher in Dartmouth.I caught a break and was fortunate to obtain a Ph.D. in Psychology. Earlier in my career, I spent time on several Native American reservations including Pine Ridge in South Dakota in the 80s where the American Indian Movement was organized. I also have been a consultant to local school districts in the special education departments including Dartmouth.As I grew up in Dartmouth in the 50s and 60s, as I aged, I became aware that Dartmouth was not always a shining beacon of equality for ",realization
9,"Pope Francis gestures during the weekly general audience at the Paul VI Hall at the Vatican, March 23, 2022. REUTERS/Yara NardiVATICAN CITY, March 23 (Reuters) - Pope Francis will meet representatives of Canada's native peoples this month to listen to their concerns following the discovery of bodies of children buried in church-run schools in Canada, the Vatican said on Wednesday.A statement said the Pope will meet representatives of Inuit, Métis and First Nations communities on March 28 and 31, before holding an audience for all groups as well as Canadian bishops on April 1.The schools, whose stated aim was to assimilate indigenous children, operated between 1831 and 1996 and were run by a number of Christian denominations on behalf of the government. The Catholic Church ran most of them.Register now for FREE unlimited access to Reuters.com RegisterLater this year the Pope is expected to visit Canada, where Indigenous people have asked that he personally apologise for the Church's role in the schools. Canadian Prime Minister Justin Trudeau also said the Catholic Church must take responsibility.The recurring scandal broke out again last year, when hundreds of bodies where discovered at former schools, leading to fresh demands for accountability.Last June, Pope Francis ",neutral
10,"Brazil’s electrical authorities have given the go-ahead for studies to prepare for building three large Amazonian dams that would flood Indigenous lands and protected areas for biodiversity.The decision shows that Brazil’s presidential administration is confident that the National Congress will approve the bill submitted by President Bolsonaro to open Indigenous lands to hydroelectric dams, and probably also allow dams to continue to be built without consulting impacted Indigenous peoples.The decision also shows that Brazil’s electrical authorities continue to ignore inconvenient information on climate change, the financial viability of Amazonian dams and their many social and environmental impacts, as well as the country’s better energy options.This text is translated and expanded from the author’s column on the Amazônia Real website. The views expressed are those of the author, not necessarily of Mongabay.Brazil’s Amazon dam plans have been slowed down over the past decade due to realization by the country’s electrical authorities that obtaining environmental licenses would be difficult when Indigenous peoples are impacted, despite the government’s success in forcing approval of dams such as Belo Monte. Teles Pires (see here and here) and São Manoel that clearly violate the rights of these people as guaranteed by Brazil’s constitution Article 321, Laws ",neutral
11,"Papli Bai vehemently refused to take the first vaccine shot against COVID-19 during the devastating second wave that hit India in April last year.She, like many others in the Garasiya tribal community, believed it was the injection that was causing people to fall sick and, in some cases, die.Distrustful of vaccines""I shouted at the health workers who came to our village. The male folk threw stones at them to shoo them away,"" Papli, 32, told DW.In another block near Abu Road, where the indigenous community lives, Keli Bai and her sister, Puli, shut their doors on medical health officials and workers. They refused to come out despite the pleas.Fear of syringes in the community is a mixture of mistrust and faith in the traditional medicinal rituals the tribe follows.For as long as they can remember, the Garasiya tribal community, considered to be the third largest tribal group in the northwestern state of Rajasthan, has had a deadly fear of syringes.This has had an enormous impact on the immunization of pregnant women and infants.Vaccine-hesitancy among the Garasiya tribal community predates the coronavirus pandemicDuring the pandemic, vaccine coverage was slow to take off. Medical workers said the tribal regions were seen as ",neutral
12,"On March 20, Patal Kanya Jamatia joined the Bharatiya Janata Party in the presence of Tripura Chief Minister Biplab Kumar Deb. With that, the party she heads, the Tipra People’s Front, effectively merged with the BJP.As she joined the BJP, Jamatia batted for “greater Thansa [unity]” between tribal and non-tribal populations in the state, and an end to the “communal line of politics” that threatened to divide Tripura. In the interests of “peaceful co-existence”, Jamatia said, she was prepared to give up on aspirations for a separate tribal homeland carved out of Tripura, a long-running demand that had spawned decades of militancy.Jamatia expressed the hope that there would be a “four-engine BJP government” in Tripura. The party was already in power at the state and central levels. She hoped it would also be in power in the tribal autonomous council in Tripura as well as the village councils.Jamatia also described Deb as the “first honest Tripura CM”, who had tried to work towards “development for all”.It was a marked change of direction for Jamatia, who, just a few years ago, had called Deb an “illegal Bangladeshi immigrant”. It is also the first time that the BJP in Tripura has absorbed ",neutral
13,"Protesters march in Sydney, Saturday, June 6, 2020, to support the movement of U.S. protests over the death of George Floyd. Black Lives Matter protests across Australia saw thousands of demonstrators in state capitals honor the memory of George Floyd and protest the deaths of Indigenous Australians in custody.AdvertisementMarch 21 was the International Day for the Elimination of Racial Discrimination, which marks the anniversary of a horrific massacre in apartheid South Africa in 1960, in which 69 innocent civilians were killed whilst protesting in Sharpeville. It is a widely recognized day that seeks to shape a more equal world, free from discrimination.In Australia however, March 21 is only known as Harmony Day. Some in the media have argued that this is because acknowledging “the elimination of racial discrimination” would actually mean accepting its presence in the first place.When it comes to the Australian justice system, the prevalence of systemic racism is hard to ignore. Cheryl Axleby, co-chair of Indigenous justice group Change the Record, is blunt in saying that the justice system openly discriminates against Indigenous people.“Every year, Aboriginal people suffer racist or violent mistreatment and abuse by police,” Axleby, a Narungga woman, told The Diplomat. “They don’t report it ",neutral
