Title,Content
Sri Lanka's last indigenous people,"""This is our cave,"" said the man. He was tall with curly, shoulder-length hair and his lower lip was caked red with the areca nut he was chewing. An orange sarong was tied around his waist and a small axe was slung over his left shoulder. He pointed at a dimly lit rock shelter guarded by swaying trees.""This is where the children lived,"" he said, gesturing to a dark corner, ""and here, the men and women. You see the top there,"" he continued, showing a sun-lit platform sheathed by scattered boulders. ""That's where our leader slept, and we burnt wild boars, deer and rabbits to eat.""Gunabandilaaththo belongs to the Vedda community, the earliest known aboriginal people of Sri Lanka. For centuries, his people were forest dwellers who foraged, hunted and lived in close-knit groups in caves in the dense jungles of Sri Lanka, relocating from one cave to another when someone from the group died. After one's death, they laid the body on the cave floor and covered it with leaves while gathering by a large tree to pray for the deceased; and offered wild meat, honey and wild tubers to their ancestors and the deities of the trees, rivers and jungles. ""We prayed for their afterlife so that their souls will belong to the deities; they will look after us,"" he said.Today, the Vedda live scattered in tiny settlements in the Hunnasgiriya hills in central Sri Lanka up to the coastal lowlands in the island's east. However, long before Indo-Aryans – who are now the dominant Sinhalese-Buddhist people – came to Sri Lanka from India around 543 BCE, the Vedda lived all around the island.Despite being Sri Lanka's earliest inhabitants, many people know little to nothing about them. For many centuries, Veddas were stigmatised and oppressed by the Sinhalese rule, and limited only to tourist interest. Today Veddas are thought to account for less than 1% of the national population."
Protest In Guwahati Demanding Land Allocation To Indigenous People,"POPULAR TAGS FOLLOW US ON:This material may not be published, broadcast, rewritten, or redistributed, 2022 © G plus. All rights reserved. Copyright © 2022 Insight Brandcom Pvt. Ltd. All rights reserved."
B.C. reveals 89-point action plan to advance the rights of Indigenous Peoples,"The province has unveiled a five-year, 89-point action plan to advance the United Nations Declaration on the Rights of Indigenous Peoples (UNDRIP), which became legislation in B.C. over two years ago.Hailed as historic by government and Indigenous leaders speaking at its unveiling, the plan outlines a list of ""significant actions"" the province is promising to undertake in consultation and cooperation with Indigenous Peoples.Chief Jerry Jack of the B.C. Assembly of First Nations said the document charts a path to a renewed relationship with government and reconciliation.""I commend this significant effort,"" said Jack. ""What [Indigenous Peoples] have been going through is multi-generational. I went with my dad to blockades in the 1970s, fighting for our rights. I don't want my grandchildren to still have to fight for our rights, our land back.""The 89 actions address a wide range of issues, including governance, land and water stewardship, salmon, education, anti-indigenous racism, child welfare, policing and justice, data collection, health care, sport and recreation, Indigenous languages, climate change, B.C. place names, cannabis policy and high-speed internet access.Each of the 89 actions notes which provincial ministry is responsible for its implementation.Premier John Horgan called the plan a roadmap to do ""what has never been done on planet Earth before.""""This ... is a first for any government in the world. It will drive transformative change in the relationship with Indigenous Peoples and help us build a brighter future for everyone,"" said Horgan.B.C. became the first jurisdiction in North America to adopt UNDRIP when the Declaration on the Rights of Indigenous Peoples Act was passed unanimously by the legislative assembly in 2019.Rosalie Yazzie of the B.C. First Nations Justice Council urged quick action on the justice front to address the inherent racism and over-representation of Indigenous people in the justice system.""We cannot ask people who are suffering the way so many Indigenous Peoples are to keep waiting. We either make changes that address this issue in real ways, or we are failing,"" she said.""Reconciliation is a process that takes us all out of our comfort zone and if you don't feel uncomfortable you're not doing it right.""Murray Rankin, minister of Indigenous relations and reconciliation, defended the plan as more than aspirational, saying the 89 actions are ""tangible, measurable and achievable"" in the five-year period.""We will be held accountable every year in a real way,"" said Rankin. ""[The plan] will not gather dust, it cannot, it's not allowed to.""B.C. Green MLA Adam Olsen, a member of the Tsartlip First Nation, criticized the action plan as ""lay[ing] the groundwork for excuse making.""""The metric for success is not what we hear but what we see. Twenty-eight months after the Declaration Act was unanimously passed in the legislature, this government is only just moving forward,"" he said. ""This plan outlines goals for reconciliation, but not the metrics for achieving them."""
Study shows higher COVID-19 death rates for Indigenous people,"American Indians and Alaska Natives appear to be at higher risk for death from COVID-19 despite having similar rates of chronic health conditions, a new study has found. Photo by Adi Weda/EPA-EFEMarch 30 (UPI) -- American Indians and Alaska Natives in the United States are more likely to die from COVID-19 than Black and White Americans, even without the chronic conditions that place people at higher risk for serious illness from the virus, a study published Wednesday by JAMA Network Open found. Black Americans in Mississippi hospitalized with COVID-19 were 75% less likely to die from the virus compared to American Indians and Alaska Natives, the data showed. AdvertisementSimilarly, White Americans in the state hospitalized with the virus had a 77% lower risk for death after infection than these Indigenous populations, the researchers said.This is despite American Indians and Alaska Natives in the study having similar or lower rates of heart disease, high blood pressure, diabetes and obesity compared to Black and White American participants, according to the researchers.Previous research has found that having heart disease, high blood pressure, diabetes and/or obesity increases a person's risk for serious illness and death from COVID-19 infection, making them ""comorbidities"" in medical terms, they said.Advertisement""American Indian and Alaska Native adults [were] younger than all other races when admitted [to the hospital] with COVID-19 and [had] a lower mean comorbidity prevalence than Black or White patients,"" study co-author Leslie A. Musshafen told UPI in an email.Still, ""they had the longest average length of stay in the hospital and died while in the hospital at two to four times the rate of all other races,"" said Musshafen, executive director of research at the University of Mississippi Medical Center in Jackson.Since the start of the COVID-19 pandemic in March 2020, communities of color, including American Indians and Alaska Natives, have been at increased risk for infection, serious illness and death from the virus, research indicates.This is due to many factors, including poorer overall health in these communities and lack of access to needed care services, studies have found.Early in the pandemic, American Indian reservations experienced some of the worst COVID-19 outbreaks seen nationally.The findings of this study are based on an analysis of data for nearly 19,000 people in Mississippi hospitalized with COVID-19 in 2020.Most of the included patients were adults ages 50 to 75 years, and 54% were women, the researchers said.AdvertisementJust over 1% of the patients in the study American Indians and Alaska Natives, while 49% were Black Americans and 49% were White Americans, according to the researchers.COVID-19 deaths were evaluated against rates of 31 chronic health conditions known to increase the risk for severe illness from the virus for Black, White and American Indian and Alaska Native patients included in the study, they said.For example, 27% of the American Indian and Alaska Native patients in the study had obesity compared with 33% of Black patients and 24% of White patients, the data showed.In addition, 39% of the American Indian and Alaska Native patients in the study had ""uncomplicated"" high blood pressure, or high blood pressure without heart-related complications, the researchers said.For the Black and White patients in the study, this figure was 47% and 48%, respectively, according to the researchers.Despite these findings, American Indian and Alaska Native patients were more than twice as likely to die from COVID-19 as Black or White patients, the data showed.""The significant impact that social determinants have on the health of all populations is undeniable, during the pandemic and beyond, [and] we must account for these complex factors to improve the health of a population,"" Musshafen said.Advertisement""In Mississippi, for instance, a single Indian Health Service facility provides healthcare for American Indians across the entire state [and] those needing higher acuity care [there] had to be transferred to a facility in another region of the state, potentially delaying care,"" she said."
Pope meets Canada Indigenous groups seeking apology for abuse of children,"Pope Francis has heard first-hand the horrors of abuse committed at church-run residential schools in Canada, as Indigenous delegations pressed him for an apology.Indigenous survivors are visiting the Vatican this week for meetings with the pope about the scandal that has rocked the Catholic church.More than 1,300 unmarked graves have been discovered since last May at church-run schools attended by Canada’s Indigenous children as part of a government policy of forced assimilation.“The pope listened … (he) heard just three of the many stories we have to share,” Cassidy Caron, president of the Métis National Council, told journalists in front of St Peter’s Square. “While the time for acknowledgment, apology and atonement is long overdue, it is never too late to do the right thing.”Francis also held a private audience with representatives of the Inuit Tapiriit Kanatami.The 85-year-old pontiff is scheduled to receive a delegation from the Assembly of First Nations on Thursday, before a final group meeting on Friday.The Catholic church in Canada has apologised “unequivocally” to Canada’s Indigenous peoples for a century of abuses at church-run residential schools.Francis has also expressed his “pain” at the scandal – but has not gone so far as to offer an apology himself.“We really truly hoped that … (at) this meeting today, that the pope would listen … and hopefully bring an apology when he does arrive in Canada,” Caron said.According to Canadian bishops, Francis has indicated a willingness to visit Canada, though no date has yet been set.Caron said the pope had echoed the Métis’ request for “truth, justice and healing”, saying she took that as a sign of “a personal commitment”.Approximately 150,000 Indigenous children, including Métis and Inuit, were enrolled from the late 1800s to the 1990s in 139 of the residential schools across Canada, spending months or years isolated from their families, language and culture.Many were physically and sexually abused by headmasters and teachers, and thousands are believed to have died of disease, malnutrition or neglect.A truth and reconciliation commission concluded in 2015 the failed government policy amounted to “cultural genocide”.The 32 delegates visiting the Vatican say an apology from Francis in Canada would be “an important step” in the healing process.“Primarily the reconciliation requires action. And we still are in need of very specific actions from the Catholic church,” said Natan Obed, president of the Inuit Tapiriit Kanatami, who led the Inuit delegation. He cited the reparations the Canadian church has been ordered to pay, as well as justice for victims of a Catholic Oblate priest accused of multiple cases of sexual abuse who is now living in France."
Will Pope Francis apologize to Canada's indigenous people?,"AsiaWill Pope Francis apologize to Canada's indigenous people?He has taken the first step to healing the wounds inflicted by the Church by meeting indigenous delegationsA Canadian man sits and prays at the field where the remains of over 750 children were buried on the site of the former Marieval Indian Residential School in Cowessess First Nation, Saskatchewan, on June 25, 2021. (Photo: AFP)By Ben Joseph Published: March 30, 2022 10:28 AM GMT Updated: March 30, 2022 10:51 AM GMTPope Francis is under pressure to clear a blot on the escutcheon of the Catholic Church caused by the forceful assimilation of indigenous children in Canada.Canada’s indigenous schools became a fly in the ointment of the Church's good intentions when it tried to help North America indigenous people after they faced disease, hunger and the loss of their traditional economy during colonial and modern times.From 1831 to 1996, at least 150,000 indigenous children were forcefully separated from their homes and placed into some 139 residential schools. The Church and its religious orders ran more than two-thirds of the schools.Thank you. You are now signed up to Daily newsletterSIGN UP NOW! Stay up to date Don't miss out on the latest NewsAccording to Canada’s Truth and Reconciliation Commission, which probed the Indian residential school system, an estimated 4,100 to 6,000 students died at these schools and their bodies were buried in mass graves within school premises.The children, buried secretly en masse, are reported to have breathed their last due to Spanish flu, measles or the evil actions of their protectors, according to the commission (2008-19).Adding a sinister element is the fact that the graves were hidden and there was not one headstone or cross to mark them despite the schools being managed by two resourceful churches — Catholic and Anglican.The students reportedly did not receive proper medication and decent burials, nor were their families informed of their illness and deathsTwo sets of delegates — one from the Métis National Council and another from the Inuit Tapiriit Kanatami — had separate meetings with Pope Francis on March 28. Another delegation from the Assembly of First Nations was scheduled to meet him on March 31.The delegations comprise indigenous elders, knowledge keepers, residential school survivors and youths. They represent 1.67 million indigenous people who make up nearly 5 percent of Canada’s 38 million people.The groups asked Pope Francis to visit Canada and publicly apologize there for the Church's treatment of indigenous people and its collaboration with colonizers. The Vatican has said the pope is willing to make the trip but has not said when.The papal meeting with indigenous people had been set for June 2021 following the discovery of unmarked graves at residential schools in Canada but did not take place due to the pandemic and a surge in Covid-19 infections in Italy.At least 6,000 students died, though the number could be higher. They were put into crowded, church-run boarding schools, where they were abused and banned from speaking their languages as part of cultural assimilation used as a ploy to undermine the native resistance to the dispossession of local habitats.The students reportedly did not receive proper medication and decent burials, nor were their families informed of their illness and deaths.Some survivors said the bodies of infants born to girls impregnated by priests and monks were also dumped in the secret mass graves, The New York Times reported on July 24, 2021.The mainstreaming of the local populace required a systematic denigration of their cultures and languages, which was conducted under seemingly benevolent civilizing education.After collecting more than 7,000 statements from indigenous people, the state-funded commission arrived at the conclusion that the assimilation policy was “cultural genocide.”The Truth and Reconciliation Commission had sought a papal apology for the role of the Church and Trudeau made a personal appeal to the Vatican, but the pope has still not taken that stepThe biggest discoveries of the remains of 751 children in Saskatchewan and a mass grave of 215 children in a former church-run school in British Columbia were called “part of a larger tragedy” by Canada's Catholic Prime Minister Justin Trudeau.In what is officially called the largest settlement against forceful assimilation, Canada announced a US$31.5 billion settlement on Jan. 4 to compensate indigenous families who suffered because of the residential school system.A part of it will be set aside to improve the child welfare system of a nation where indigenous children make up more than half of those in foster care, according to a 2016 census.According to the Canadian Conference of Catholic Bishops, Pope Francis will meet representatives of the three major groups of indigenous people.The Truth and Reconciliation Commission had sought a papal apology for the role of the Church and Trudeau made a personal appeal to the Vatican, but the pope has still not taken that step.In contrast, the United Church of Canada, the country’s largest Protestant denomination, apologized in 1998 for its role in running the Indian residential school system.The delegation may ask Pope Francis for an apology for the Church’s role, the release of all records related to residential schools, and the return of any indigenous records that the Vatican may possess in its archives.Pope Francis has taken the first step by meeting the indigenous delegations to heal the wounds inflicted by the Church. Will the 84-year old pope wrap it with a papal apology?* The views expressed in this article are those of the author and do not necessarily reflect the official editorial position of UCA News.Latest News"
Does the pre-election budget address ways to realistically 'close the gap' for Indigenous people?,"As Treasurer Josh Frydenberg handed down the federal government’s pre-election budget on Tuesday night, I watched in anticipation to see what it would hold for Aboriginal and Torres Strait Islander peoples and communities.It’s an important issue, particularly in light of the government’s 2020 commitment to new targets to address the ever-growing disparities between Indigenous peoples and the rest of the population that have yet to be adequately addressed.It was no surprise to see a strong budget focus on the cost of living. Petrol prices have surged past A$2 a litre, and the cost of food is rising because of COVID-19, floods and climate change.Opposition Leader Anthony Albanese was quick to criticise the budget, likening it to “fake tan” and claiming that the one-off cost-of-living payments are more about winning the upcoming election than planning for the future. The problem with fake tan, he said, is that “it fades pretty quickly”.Unfortunately, Indigenous people are used to disappointing budgets that lack the strategic planning needed to address real issues that Indigenous communities themselves constantly raise.True, the cost of living is soaring for many Australians. But like all things, this is never an even playing field. The cost of living in remote Aboriginal communities beggars belief. It is so outrageous that it triggered a federal parliamentary inquiry in 2020.Perhaps not unexpectedly, the inquiry failed to deliver any meaningful results. Petrol prices have also been extremely high in rural and remote locations for a long time, significantly impacting Indigenous communities. For example, petrol prices have reached as high as $3 a litre in Arnhem Land.Read more: There's $1.3 billion for women's safety in the budget and it's nowhere near enoughWhat’s in the budget for us?So, what’s in the 2022 pre-election budget that will address the new targets set by the government? Federal Minister for Indigenous Australians Ken Wyatt said in his budget-night press release that the Morrison government has embarked on “the most ambitious Indigenous policy reform agendas”.The federal budget should address the needs in the broader community, but also the targeted commitments that the government makes, such as those outlined in the Closing the Gap scheme.The government has pledged $636.4 million in the 2022 budget over six years to expand Indigenous land and sea management on Country. This will provide more education and employment opportunities in remote and regional Australia. Given the lack of any real commitment to climate change, I guess the government is hoping Indigenous rangers will do the work so urgently required.Housing in remote Aboriginal communities in the Northern Territory has been allocated $408 million. The funding will be used for addressing overcrowding, homelessness and much-needed improvements to homes. The government has also allocated $183 million over the next three years to improve economic, social and health outcomes for Indigenous people in the NT.Although homelessness and affordable housing is a major concern for Indigenous people across Australia, no funding was committed to other locations. Yet most Indigenous people live in urban areas. In Victoria, for example, the number of Indigenous people seeking help from services for housing issues has increased by 33.6% over four years – the highest rate for Indigenous people anywhere in Australia.Is the budget addressing the Indigenous health gap?The budget promises an estimated $16.2 million for Indigenous health spending across 2022-23. Specifically, the funding is to combat blood-borne viruses and sexually transmissible infections in the Torres Strait, and improving trachoma control services. Australia is the only developed country where trachoma still exists. It only impacts Indigenous people, and is directly related to overcrowding and poor housing conditions, including access to clean water and sanitation.The federal government has also pledged $12 million towards combating rheumatic fever and rheumatic heart disease in Indigenous communities, which continue to have one of the highest rates in the developed world. The ABC 4 Corners report Heart Failure highlighted the ongoing impacts of racism in the health system and the appalling lack of healthcare provided.The National Aboriginal Community Controlled Health Organisation (NACCHO) has expressed disappointment at what it describes as the budget’s failure to adequately fund Indigenous health, even though the disparities in health between Indigenous peoples and other populations in Australia are supposedly one of the key areas of the government’s commitment.The organisation’s chief executive, Pat Turner, said:As long as this $4.4 billion funding gap remains and as long as there are funding gaps elsewhere – in particular, in housing – we cannot expect the unconscionable health gap to close. This Budget is an opportunity lost. NACCHO calls upon the government to close the funding gap for Aboriginal and Torres Strait Islander people.Last year, Prime Minister Scott Morrison said the “ultimate test” of closing the gap would be that Aboriginal and Torres Strait Islander children in particular would have the same opportunities as other children in Australia.On this scale, the federal government has failed miserably. Indigenous children in Australia are ten times more likely to be removed from their families.Catherine Liddle, chief executive of SNAICC, the national peak body for Aboriginal children and families, expressed the frustration Indigenous people have on this issue:People have been saying this for a long time, yet the change in investment and transformation to the system that’s required to fix it hasn’t followed through.Turner and Liddle both also highlighted the considerable shortfall in the commitment needed to meet the ambitious targets set out in the Closing the Gap agreement.Overall, the budget falls short of adequate investment across key areas such as health, housing, education and employment. It also fails to provide funding to address the high number of Indigenous deaths in custody and to support families facing the financial burden of seeking legal justice.Frydenberg acknowledged the women’s safety crisis in Australia, and the government has reiterated its support for a dedicated Aboriginal and Torres Strait Islander Action Plan led by the Aboriginal and Torres Strait Islander Advisory Council on family, domestic and sexual violence. But the budget fails to fund Aboriginal family violence and legal services where resources are urgently needed.The co-chair of the First Nations-led coalition Change the Record, Cheryl Axleby, said that if a budget was a reflection of a government’s priorities, it’s clear that First Nations’ needs are a long way down the list."
Why are Indigenous people being left out of climate conversations?,"Student climate protest in Melbourne. Credit: ShutterstockThe urgency of tackling climate change is even greater for Aboriginal and Torres Strait Islander people, and other First Nation peoples across the globe. First Nations people will be disproportionately affected and are already experiencing existential threats from climate change.The unfolding disaster in the Northern Rivers regions of New South Wales is no exception, with Aboriginal communities completely inundated or cut off from essential supplies.Aboriginal and Torres Strait Islander peoples have protected Country for millennia and have survived dramatic climatic shifts. We are intimately connected to Country, and our knowledge and cultural practices hold solutions to the climate crisis. Despite this, we continue to be excluded from leadership roles in climate solution discussions, such as the recent Intergovernmental Panel on Climate Change (IPCC) report.This continued exclusion is why investigation of the impacts of climate change on First Nations people is needed.In October last year, the Lowitja Institute, in partnership with the Aboriginal and Torres Strait Islander National Health Leadership Forum and the Climate and Health Alliance, brought together researchers, community members, young people and advocates from across the country at a round-table discussion.Together, they put together the findings for the Discussion Paper Climate change and Aboriginal and Torres Strait Islander health.How climate change impacts Indigenous peoplesAs the paper tells us, climate change threatens our social and cultural determinants of health, including access to Country, traditional foods, safe water, appropriate housing and health services.Aboriginal health services are already struggling to operate in extreme weather, with increasing demands and a reduced workforce. All these forces combine to exacerbate already unacceptable levels of ill-health within Aboriginal and Torres Strait Islander populations and compound the historical and contemporary injustices of colonization.During the round table, we heard powerful and moving stories from communities on the front line of climate change.Norman Frank Jupurrurla, a community leader from Tennant Creek, spoke of sacred waterholes drying up, ancient shade trees dying, temperatures rising, inadequate housing, power going out and spoiled essential food and medicines.Vanessa Napaltjarri Davis, a Warlpiri/Northern Arrente woman and Senior Researcher at Tangentyere Council in Mparntwe/Alice Springs, spoke of changes to the availability of bush foods and medicines—essential to our health and well-being—due to changing temperatures and seasons.For example, as Norman Frank Jupurrurla wrote: ""…now the country is burning, getting destroyed, because of climate change. Already, I cannot see sand goannas any more.""Aboriginal and Torres Strait Islander peoples hold a deep and painful knowledge of the role dominant culture, racism and colonial power dynamics play within climate change. Although there have been many suggested solutions to climate change, access to these solutions is not equally or equitably available across Australia.Norman Frank Jupurrurla demonstrated this when he shared the almost impossibly drawn-out process he has completed to become the first person to install solar panels on public housing in Tennant Creek, Northern Territory.Listening to Aboriginal communities experiencing the profound health impacts of climate change is essential to guiding government responses Aboriginal leaders tell @CroakeyVoice @LowitjaInstitut roundtable on #IndigenousClimateJustice21 https://t.co/Od4m7EiXIc #HealthyCOP26 — CroakeyVoices (@CroakeyVoices) November 17, 2021Indigenous peoples' voices excluded from climate change conversationsColonization has ignored Indigenous ways of knowing, doing and being, right down to the weather. Colonizers insisted we live according to just four seasons, instead of the many seasons our people knew and respected.This experience of marginalization continues today where we have not been sufficiently included in national and international conversations about climate change, including being pushed to the sidelines at COP26.The IPCC acknowledged this globally in its report last year. The report states that data and most reporting on climate change do not include Aboriginal and Torres Strait Islander or local knowledge in the assessment findings.The IPCC's most recent report looks to recognize this omission and focuses specifically on the importance of our role and knowledge in addressing the climate crisis and the need for climate justice.The calls from our work are clear. We must elevate Aboriginal and Torres Strait Islander voices within climate change action and center Aboriginal and Torres Strait Islander peoples as leaders in protecting Country. In the words of Seed Mob, ""We cannot have climate justice without First Nations justice.""In seeking solutions, we must consider how colonial ideologies and practices around climate change can impact on our peoples. As Rhys Jones wrote, ""It is not possible to understand and address climate-related health impacts for Indigenous peoples without examining this broader context of colonial oppression, marginalization and dispossession.""The Uluru Statement from the Heart, a gift to the Australian People, provides the road map for action:We must correct power asymmetries and establish co-governance arrangements and become strong advocates of, not only our interests, but our capabilities to tackle climate change.We must restore access to basic rights that will lay the groundwork for action that includes appropriate community participation/decision-making and incorporates cultural, environmental and sustainable design.We must weave our knowledges and strengthen partnerships to ensure that our collective wisdom and knowledge as Australia's First Nations is integrated into climate adaptation and mitigation planning, directly benefitting the whole nation.Indigenous people know about this continent; we've looked after it for millennia.The Uluru Statement from the Heart gives the opportunity to restore that ancient power—for the benefit of us all and the survival of the planet.Explore further IPCC reports still exclude Indigenous voices. Join us at our sacred fires to find answers to climate changeThis article is republished from The Conversation under a Creative Commons license. Read the original article."
OPINION: “Save the symbol of our relationship with indigenous people as a way to honor our mutual past”,"“Dear Dartmouth citizens:My name is Bob Sisson, I grew up on Smith Neck Road and attended and graduated from the Dartmouth School system in 1971. I was a member of the football and track teams, though not very good.I feel I have a unique perspective on the current issue of the use of an indigenous person as a symbol of Dartmouth Pride. I am the 13th generation of one of the founders of Dartmouth, Richard Sisson who had a home at the Head of Westport River in 1635. My father Dick was a star athlete for Dartmouth High and is in our Hall of Fame. He was also a coach and phys ed teacher in Dartmouth.I caught a break and was fortunate to obtain a Ph.D. in Psychology. Earlier in my career, I spent time on several Native American reservations including Pine Ridge in South Dakota in the 80s where the American Indian Movement was organized. I also have been a consultant to local school districts in the special education departments including Dartmouth.As I grew up in Dartmouth in the 50s and 60s, as I aged, I became aware that Dartmouth was not always a shining beacon of equality for all its citizens; Jews, Blacks, and Portuguese.On the other hand, I can honestly say I have never heard any disparaging remarks about Native Americans, Blacks, or Jews while in school or as an adult in Dartmouth. Sports and other extra curriculum activities are a great way to make friends different from yourself. The citizens of Dartmouth I feel are great people free of prejudices and continue to make strides in equality for all.Native American history was taught briefly in our schools. Our early settlers, particularly Quakers, were very involved with their native neighbors. Many Appongansettes became Christians and there was a Native church on Horseneck Road. More could be taught in the schools.But this is not the first time outsiders have butted into Dartmouth’s long-time residents’ relationship with original inhabitants. During the King Phillip War, Puritans from Boston and Plimouth imprisoned peaceful Appongansettes and sold them into slavery.Don’t let history repeat itself. Please save the symbol of our relationship with indigenous people as a way to honor our mutual past. I know my dad would be for it as I grew up with a large similar symbol on my bedroom door.” -Bob Sisson, PhD."
Pope to meet Canadian Indigenous people following schools scandal,"Pope Francis gestures during the weekly general audience at the Paul VI Hall at the Vatican, March 23, 2022. REUTERS/Yara NardiVATICAN CITY, March 23 (Reuters) - Pope Francis will meet representatives of Canada's native peoples this month to listen to their concerns following the discovery of bodies of children buried in church-run schools in Canada, the Vatican said on Wednesday.A statement said the Pope will meet representatives of Inuit, Métis and First Nations communities on March 28 and 31, before holding an audience for all groups as well as Canadian bishops on April 1.The schools, whose stated aim was to assimilate indigenous children, operated between 1831 and 1996 and were run by a number of Christian denominations on behalf of the government. The Catholic Church ran most of them.Register now for FREE unlimited access to Reuters.com RegisterLater this year the Pope is expected to visit Canada, where Indigenous people have asked that he personally apologise for the Church's role in the schools. Canadian Prime Minister Justin Trudeau also said the Catholic Church must take responsibility.The recurring scandal broke out again last year, when hundreds of bodies where discovered at former schools, leading to fresh demands for accountability.Last June, Pope Francis said he was pained by the discovery of the remains of over 200 children at a former Catholic school for indigenous students, but stopped short of the direct apology some Canadians had demanded. read moreThe residential school system forcibly separated about 150,000 children from their homes. Many were subjected to abuse, rape and malnutrition in what the Truth and Reconciliation Commission in 2015 called ""cultural genocide"".Register now for FREE unlimited access to Reuters.com RegisterReporting by Philip Pullella; writing by Angelo Amante; editing by Jason Neely and Barbara LewisOur Standards: The Thomson Reuters Trust Principles."
